B08R1GM8LM,Brightline Smart,{'all'},Brightline,Activación gratis,0,,"“Alexa, enciende la luz del salón”","Brightline Smart ofrece la experiencia más completa de hogar inteligente controlado por voz con Alexa. Controle la iluminación y otros dispositivos de su hogar sin usar las manos. Simplemente dígalo, y Brightline Smart obedecerá.
Aquí está una guía paso a paso:
1. Descargue la aplicación Brightline desde Google Play o iOS App Store.
2. Abra la aplicación y registre una nueva cuenta (o inicie sesión si ya se ha registrado).
3. Encienda los dispositivos Brightline y conéctelos con la aplicación Brightline.
4. IMPORTANTE: Puede renombrar los dispositivos en la aplicación Brightline. Por ejemplo, si usted renombra una bombilla inteligente como “Luz del Salón”, entonces Echo aprenderá el nuevo nombre después de que haya buscado dispositivos en el Paso 9.
5. Descargue la aplicación de Amazon Alexa desde Google Play o iOS App Store, y conecte Echo con la aplicación Alexa.
6. Busque ""Brightline Smart"" en la tienda de skills de Alexa.
7. Active la skill ""Brightline Smart"", a continuación introduzca el nombre de usuario de su cuenta, la contraseña y la región en la página de enlace.
8. Dígale a Echo “Alexa, descubre mis dispositivos”. Espere hasta que Alexa confirme que ha encontrado los dispositivos.
9. La configuración ha finalizado. Pruebe sus dispositivos utilizando Echo.
Aquí están los comandos de voz de los que dispone Brightline Smart:
Luces:
* Alexa, enciende la luz del salón
* Alexa, apaga la luz del salón
* Alexa, baja el brillo de la luz del salón
* Alexa, aumenta el brillo de la luz del salón
* Alexa, ajusta la luz del salón al 20 por ciento
* Alexa, pon la luz del dormitorio en verde
* Alexa, pon la luz del dormitorio en blanco frío",,https://brightlines.com/wp-content/uploads/2020/12/Brightline-Privacy-Policy-Spanish.pdf,,"pañol (ES), español (MX), español (US), francés (CA), francés (FR), inglés (AU), inglés (CA), inglés (GB), inglés (IN), inglés (US)",,,Smart Home
B07FZX1N5S,SmartTub,{'all'},Jacuzzi Brands,Activación gratis,0,,"“Alexa, pregúntale a mi bañera de hidromasaje por la temperatura”,“Alexa, pídele a mi bañera de hidromasaje ajustar la temperatura del agua a 38 grados”","La skill SmartTub es tu asistente personal para tu bañera exterior. Puedes controlar tus chorros, luces y temperatura. Necesita una bañera de hidromasaje con tecnología SmartTub para utilizar esta skill. Use la aplicación móvil SmartTub de App Store o Play Store para registrarse en una cuenta SmartTub. Luego habilite esta skill en su dispositivo Alexa. Se le pedirá que vincule las cuentas. Ingrese las credenciales de su cuenta SmartTub para vincularla con esta skill.",mi bañera de hidromasaje,https://m.smarttub.io/privacy-terms-es.html,https://m.smarttub.io/terms-of-service-es.html,"emán (DE), español (ES), español (MX), español (US), francés (CA), francés (FR), inglés (AU), inglés (CA), inglés (GB), inglés (US), italiano (IT)",,,Smart Home
B07W8N928N,Curiosidades del Visualkei,{'all'},Cincibeles,Activación gratis,0,,"“Alexa, abre Curiosidades del Visual kei”","Ofrece tres curiosidades del visual key y tu outfit ideal basándose en tu color favorito,",curiosidades del visual kei,,,pañol (MX),,,Juegos y Curiosidades
B09D29RQVS,La Catedral De La Salsa Radio,{'all'},FastCast DWC-LLC,Activación gratis,0,,"“Alexa abre la catedral de la salsa radio”,“Alexa inicar la catedral de la salsa radio”","La Catedral De La Salsa Radio La Primera Emisora Virtual De Salsa Brava Y Guaguanco De Colección Tocando La Más Fina Selección Salsera De Todos Los Tiempos 24 Horas Al Día 365 Días Del Año Tocándote Lo Mejor De La Salsa,Guaguanco,Charanga,Son Montuno Tel:917 460 9659 Website: www.lacatedraldelasalsa.com",la catedral de la salsa radio,https://fastcast4u.com/privacy,https://fastcast4u.com/tos,"pañol (ES), español (MX), español (US)",,,Música y Audio
B07ZQJ23XR,Mi reto diario,{'all'},Eduardo López Madrid,Activación gratis,49,4 de 5,"“Alexa, abre mi reto diario”,“Alexa, inicia mi reto diario”","Alexa te propondrá un reto diferente cada día para que te alejes de tu zona de confort e intentes nuevos hábitos, mejores tu día a día, hagas ejercicio, te relaciones con nuevas personas....",mi reto diario,,,"pañol (ES), español (MX)",,,Estilo de Vida
B0B39N46B6,Bienvenido al Imperio,{'all'},Jhoan Martínez,Activación gratis,10,4.1 de 5,"“Alexa, abre bienvenido al imperio”,“Juguemos bienvenido al imperio”,“Inicia bienvenido al imperio”",Juego de Star Wars viendo la perspectiva de un stormtrooper y sus decisiones en el imperio galáctico.,bienvenido al imperio,,,pañol (MX),,,Juegos y Curiosidades
B081SC3RT2,Grupos pop españoles,{'all'},Glolabe,Activación gratis,4,2.3 de 5,"“Alexa, abre grupos pop españoles”,“Dime un grupo pop”,“Dime otro grupo”",Pregunta a Alexa por un grupo pop español para escuchar uno de los más famosos del país.,grupos pop españoles,,,"pañol (ES), español (MX), español (US)",,,Juegos y Curiosidades
B0BRXP5DSH,COOAU Cam,{'all'},深圳市第一构想科技有限公司,Activación gratis,0,,"“Alexa, muéstrame la cámara”,“Alexa, oculta la cámara”","La skill COOAU Cam solo puede funcionar con ciertas cámaras Wi-Fi alimentadas por CA, no todas las cámaras que usan COOAU CamAPP pueden usar la skill COOAU Cam, consulte a los vendedores si su producto es compatible con Alexa antes de usar esta skill .

Para comenzar, siga los pasos a continuación:
1. Instale la aplicación COOAU Cam desde App Store y Google Play, conecte la cámara a la aplicación COOAU Cam, manténgala en línea y en funcionamiento.
2. Encuentre la skill COOAU Cam en la aplicación Alexa, haga clic en ""Activar"" para vincular su cámara con la cuenta de Alexa, luego busque su cámara.
3. Prueba comandos de voz como ""Alexa, muestra la sala de estar"" para obtener videos en vivo y verificar que todo esté bien en tu dulce hogar.",,https://apis-eu-frankfurt.cloudedge360.com/privacy/65/sp/index.html,https://apis.cloudedge360.com/img/65/Alexa_en.html,"emán (DE), español (ES), español (MX), español (US), francés (CA), francés (FR), inglés (AU), inglés (CA), inglés (GB), inglés (IN), inglés (US), italiano (IT), japonés (JP), portugués (BR)",,,Smart Home
B0877CXPQQ,Trivia de Jalisco,{'all'},Alive,Activación gratis,2,3.7 de 5,"“Alexa, lanza trivia de Jalisco”,“Alexa, abre trivia de Jalisco”,“Alexa, jugar trivia de Jalisco”","Simplemente dime, Alexa, abre trivia de Jalisco y empezaré a hacerte las preguntas. 

También puedes decirnos qué le falta a la skill.",trivia de jalisco,,,pañol (MX),,,Juegos y Curiosidades
B07ZQVS4BY,Trivia de Música Metal,{'all'},Francisco Zagal,Activación gratis,23,4.1 de 5,"“Alexa, abre Trivia de música”","Responde preguntas para ver que tanto sabes del género musical ""Metal"".",trivia de música,,,pañol (MX),,,Juegos y Curiosidades
B0BK1Q34KT,Asistente Orión,{'all'},Bankzilla,Activación gratis,0,,"“Alexa abre asistente banco orión”,“agendar una cita”,“crear una cita”","Un asistente de comandos por voz listo para atender las solicitudes de los clientes. Con el Asistente Orión, podrás concertar reuniones en una agencia del banco disponible.",asistente banco orión,http://bankzilla.net/policy.html,,"pañol (ES), español (MX), español (US)",,Dirección del dispositivo,Productividad
B0813JQZHZ,Perogrulladas,{'all'},ShowiGore,Activación gratis,0,,"“Alexa, abre frases de perogrullo”",Recolección de frases obvias,frases de perogrullo,,,"pañol (ES), español (MX)",,,Curiosidades y Humor
B07ZY7ZNKQ,Tiempo en Marte,{'all'},jake,Activación gratis,0,,"“Alexa, lanza tiempo en marte”,“Alexa, abre tiempo en marte”",Con esta skill podrás obtener datos de la base meteorológica de la nasa en Marte. La base meteorológica se encuentra en la región de Elysium Planitia.,tiempo en marte,,,"pañol (ES), español (MX)",,,
B08BFVMFRS,Zen Radio - Música para dormir y meditar,{'all'},"Digitally Imported, Inc.",Activación gratis,0,,"“Alexa abre zen radio”,“Alexa dile a zen radio reproducir Study Music”","Disfruta de la relajación de una forma mejor. Tanto si quieres reducir el estrés diario o la ansiedad como si tienes problemas para dormir, Radio Zen tiene lo que necesitas. Sintoniza más de 35 canales de sonidos seleccionados personalmente por nuestros conservadores internos para encontrar tu equilibrio y paz interior.
Zen Radio te ayuda a ocuparte de tu bienestar con un amplio espectro de sonidos relajantes. Si buscas música de meditación, un camino hacia la calma o quieres tener una visión más positiva de la vida, tienes todo a tu disposición con un toque. 
Activa esta skill hoy y descubre un lugar donde se publica diariamente nueva música moderna y se revisan los grandes clásicos.
Ten en cuenta que esta skill no admite la funcionalidad de transmisión en directo de Alexa Multi-Room por el momento.
Características:
- Más de 35 canales distintos de música relajante que transmiten las 24 horas del día, los 7 días de la semana.
- Usa los filtros de estilo para encontrar tu música favorita 
- Controla el audio y visualiza los títulos de las pistas en dispositivos de visualización como Echo Show.
- Consigue el nombre de la canción y el artista diciendo ""Alexa, pregunta a zenradio qué está sonando ahora mismo"".
- ¿Te gusta la pista que estás escuchando en un momento dado? Basta con que digas ""Alexa, dile a zenradio que me gusta esta pista"".

CANALES MÁS POPULARES:
Sleep Relaxation
Study Music
Meditation
Deep Focus
Relaxing Piano
Deep Concentration
Shamanic Music
Tibetan Singing Bowls
Reiki
Zen
Pregnancy Relaxation
Nature
Peaceful Healing
Space Dreams
Chillout
Downtempo Lounge


Zen Radio Premium:

- Disfruta de tus ritmos/sonidos/música favoritos 100 % libres de publicidad.
- Mejor calidad de sonido: elige entre las opciones 320k MP3 y 128k AAC.
- Transmite Zen-Radio en dispositivos que no sean de Alexa como Roku, Squeezebox o cualquier dispositivo acústico con conexión wifi, Bluetooth o AirPlay.
- Acceso privilegiado a todas nuestras otras plataformas de música: : JAZZRADIO.com, ClassicalRadio.com, DI.FM, RadioTunes, y ROCKRADIO.com. Disfruta del acceso a más de 200 canales de música de alta calidad seleccionada por personas.

CÓMO FUNCIONA
La transmisión a través de Amazon Alexa está disponible solo para los miembros. ¡Asegúrate de estar conectado a tu cuenta de Zen Radio Premium, activa la skill, relájate y disfruta de la música!

Esta skill contiene palabras en inglés.",zen radio,https://www.zenradio.com/member/privacy,https://www.zenradio.com/member/tos,"emán (DE), español (ES), español (MX), español (US), francés (CA), francés (FR), inglés (AU), inglés (CA), inglés (GB), inglés (IN), inglés (US), portugués (BR)",,,Música y Audio
B08PYD8ZP5,Elechomes,{'all'},"Shenzhen Thousandshores Technology Co., Ltd.",Activación gratis,0,,"“Alexa, enciende el purificador de aire.”","Elechomes ofrece la experiencia más completa de hogar inteligente controlado por voz con Alexa. Controle la iluminación y otros dispositivos de su hogar sin usar las manos. Simplemente dígalo, y Elechomes obedecerá.
Aquí está una guía paso a paso:
1. Descargue la aplicación Elechomes desde Google Play o iOS App Store.
2. Abra la aplicación y registre una nueva cuenta (o inicie sesión si ya se ha registrado).
3. Encienda los dispositivos Elechomes y conéctelos con la aplicación Elechomes.
4. IMPORTANTE: Puede renombrar los dispositivos en la aplicación Elechomes. Por ejemplo, si usted renombra una bombilla inteligente como “Luz del Salón”, entonces Echo aprenderá el nuevo nombre después de que haya buscado dispositivos en el Paso 9.
5. Descargue la aplicación de Amazon Alexa desde Google Play o iOS App Store, y conecte Echo con la aplicación Alexa.
6. Busque ""Elechomes"" en la tienda de skills de Alexa.
7. Active la skill ""Elechomes"", a continuación introduzca el nombre de usuario de su cuenta, la contraseña y la región en la página de enlace.
8. Dígale a Echo “Alexa, descubre mis dispositivos”. Espere hasta que Alexa confirme que ha encontrado los dispositivos.
9. La configuración ha finalizado. Pruebe sus dispositivos utilizando Echo.
Aquí están los comandos de voz de los que dispone Elechomes:
Alexa, enciende el purificador de aire.
Alexa, apaga el purificador de aire.",,https://images.tuyacn.com/smart/docs/Elechome_Privacy_Policy_ES.html,,"emán (DE), español (ES), español (MX), español (US), francés (CA), francés (FR), inglés (AU), inglés (CA), inglés (GB), inglés (IN), inglés (US), italiano (IT), japonés (JP)",,,Smart Home
B08QQMVVQD,Quién le toca,{'all'},Emilio,Activación gratis,0,,"“Alexa, abre quién le toca”","La próxima vez que estés tratando de decidir a quién le toca escoger algo o hacer alguna tarea, solo pídele a Alexa que te ayude. Por ejemplo, si estás tratando de decidir a quién le toca escoger una película en una noche de película, Alexa puede seleccionar al azar el nombre de alguien de la lista. O si estás tratando de decidir quién debe sacar la basura, ¡Alexa también puede ayudar con eso!",quién le toca,,,pañol (MX),,,Juegos y Curiosidades
